,Species.name,common.name,taxa_smaller,taxa_big,present.in.BC,established.in.BC,established.in.Canada,native.to.part.of.BC,source.region.to.BC,hitlist..according.to.Therriault.and.Webb.,ornamental.nursery.trade,aquarium.pet..trade,live.food.market,biological.supply,aquaculture,fish.stocking,recreational.boating,bait.industry,shipping.and.ballast,canals.and.diversions,adjacent.region,if.adjacent..where,exotic.to.NA,invasive.in.NA,globally.invasive,Listed.in.publications,Risk.assessment.pubs,impact.other.pubs,X,X.1,X.2,X.3,X.4,X.5,wos
57,Catostomus catostomus,Longnose sucker,sucker,fish,,,,,Alberta,,,,,,,yes,,yes,NA,NA,yes,Montana,no,yes?,no,Crossman 1991,,Clancy and Bourret 2020,,,NA,NA,,NA,104
240,Oncorhynchus nerka,"Kokanee, Sockeye salmon",salmonid,fish,,,,,,,,,,,yes,,,,NA,NA,yes,Washington,no,yes?,yes?,"Crossman 1991, DFO aquaculture liscences",,spies et al. 2007,,,NA,NA,,NA,104
85,Didymosphenia geminata,Didymo,diatom,phytoplankton,yes,,,yes,,,,,,,,,,,NA,NA,yes,"Washington, Alberta",no,yes,yes,BC Ministry List,,"Blinn 2015, Kirkwood et al. 2007, 2009",,,NA,NA,,NA,99
346,Sander vitreus ,Walleye ,Walleye,fish,,yes,,yes,,No,,,,,,,,,NA,NA,yes,Montana,no,yes,no,"Therriault and Webb 2017, BC Ministry List","Therriault and Webb 2017, DFO BC RA 2010",Clancy and Bourret 2020,,,NA,NA,,NA,99
113,Gobio gobio ,Gudgeon ,Gudgeon,fish,,,,,,Yes,,,,,,,,,NA,NA,,,no,no,yes,Therriault and Webb 2017,Therriault and Webb 2017,,,,NA,NA,,NA,97
301,Pterygoplichthys,plecostomus,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Gertzen et al. 2007,,,,,NA,95,,NA,95
200,Morone saxatilis ,Striped bass,bass,fish,,,yes,,,,,,yes,,,,,,NA,NA,,,no,yes,yes,Mandrak et al 2014,,,,,NA,NA,,NA,90
176,Lymnaea palustris OR Stagnicola palustris,(=Stagnicola palustris) ,mollusc,invertebrate,,,yes,,,,,yes,,,,,,,NA,NA,,,yes,no,no,"Schroeder et al. 2014, DFO SLRA 2014, Duggan et al. 2018",Schroeder et al. 2014,,,,NA,NA,,NA,89
25,Azolla filiculoides,Large mosquito fern,fern,aquatic plant,yes,,,no,,,,,,,,,,,NA,NA,,,,,,BC Ministry List,,,,,NA,86,,NA,86
244,Ostracoda,,Ostracoda,zooplankton,,,,,,,yes,,,,,,,,NA,NA,,,,,,Duggan et al. 2018,,,on sword plants and Vallisneria plants,,NA,86,,NA,86
209,Myriophyllum aquaticum,Parrot's feather,feather,aquatic plant,yes,,yes,no,,,yes,yes,,,,,,,NA,NA,yes,Washington,yes,yes,yes,"BC Ministry List, Keller and Lodge 2007",,"Kuehne et al. 2016, 2018",,,NA,NA,,NA,83
59,Ceratophyllum demersum,Common hornwort (coontail),hornwort,aquatic plant,yes,,,yes,,,yes,,,,,,,,NA,NA,,,yes,yes,yes,"BC Ministry List, Cohen et al. 2007",,,,,NA,NA,,NA,82
289,Potamogeton malaianus OR Potamogeton nodosus,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,NA,82,,NA,82
175,Lymnaea natalensis OR Radix natalensis, (=Radix natalensis) ,mollusc,invertebrate,,,yes,,,,,yes,,,,,,,NA,NA,,,yes,no,no,"Schroeder et al. 2014, Duggan et al. 2018",Schroeder et al. 2014,,,,NA,NA,,NA,79
350,Silurus glanis ,Wels catfish,catfish,fish,,yes,no,,,,,yes,yes,,,,,,NA,NA,,,yes,no,yes,Mandrak et al 2014,,Roy et al. 2018,,,NA,NA,,NA,79
261,Physa acuta ,European Physa ,mollusc,invertebrate,,,yes,,,,,yes,,,,,,,NA,NA,,,,,,"Schroeder et al. 2014, Duggan et al. 2018",Schroeder et al. 2014,,on sword plants and Vallisneria plants,,NA,77,,NA,77
361,Tarebia granifera OR Thiara granifera ,Quilted Melania ,mollusc,invertebrate,,,No ,,,,,yes,,,,,,,NA,NA,,,yes,yes,yes?,"Schroeder et al. 2014, DFO SLRA 2014",,,,,NA,NA,,NA,75
121,Hemimysis anomala,Bloody red shrimp,shrimp,invertebrate,,,,,,,,,,,,,,,NA,NA,,,yes,yes,yes,,DFO Canadawide RA,,,,NA,NA,,NA,74
215,Myxobolus cerebralis ,Whirling disease parasite,cndaria,parasite,,,,,,,,,,,,,,,NA,NA,yes,"Montana, Alaska",yes,yes,yes,,,"Carim et al. 2015; Murcia et al. 2015, Gates et al. 2009, (Arsan and Bartholomew 2008)",,,NA,NA,,NA,72
376,Vallisneria americana,American tapegrass,tapegrass,aquatic plant,yes,,,no,,,,,,,,,,,NA,NA,,,no,yes,yes,"BC Ministry List, Cohen et al. 2007",,,,,NA,NA,,NA,69
