"","Species.name","common.name","taxa_smaller","taxa_big","present.in.BC","established.in.BC","established.in.Canada","native.to.part.of.BC","source.region.to.BC","hitlist..according.to.Therriault.and.Webb.","ornamental.nursery.trade","aquarium.pet..trade","live.food.market","biological.supply","aquaculture","fish.stocking","recreational.boating","bait.industry","shipping.and.ballast","canals.and.diversions","adjacent.region","if.adjacent..where","exotic.to.NA","invasive.in.NA","globally.invasive","Listed.in.publications","Risk.assessment.pubs","impact.other.pubs","X","X.1","X.2","X.3","X.4","wos","wos_pet_trade","wos_live_trade","wos_bait","wos_biol_supply","wos_aquaculture","wos_stocking","wos_boating","wos_shipping","wos_canal","wos_spread_adj","wos_bc","wos_salmon","wos_impact"
"315","Puntius semifasciolatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,3,"",3,1,0,0,0,0,0,0,0,0,0,0,0,0
"316","Puntius tetrazona ","Tiger barb","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family climate match ",NA,3,"",3,7,0,0,0,5,1,0,0,0,0,0,0,0
"317","Puntius ticto ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,1,"",1,0,0,0,0,0,2,0,0,0,0,0,0,0
"318","Radix auricularia ","European Ear Snail, Big-eared Radix ","mollusc","invertebrate","","","yes","","","","","","","","","","","",NA,NA,"yes","Washington","yes","yes","no","Schroeder et al. 2014","Harman 2000; Haynes et al. 2005","Larson et al. 2018","","",NA,NA,"",8,1,0,0,0,1,2,1,0,4,2,0,0,0
"319","Rana aurora","Red-legged frog","frog","amphibian","yes","","","yes","","","","","","","","","","",NA,NA,"","","","","","BC Ministry List","","","","",NA,48,"",48,2,1,0,0,1,3,0,0,1,13,18,0,3
"320","Rana catesbeiana","Bullfrog","frog","amphibian","yes","yes","","no","","","","","","","","","","",NA,NA,"yes","Montana, Washington","no","yes","yes","BC Ministry List","","Sepulveda and Layhee 2015, Adams 1999","","",NA,NA,"",255,20,5,4,1,22,27,1,2,18,16,7,0,14
"321","Rana clamitans","Green frog","frog","amphibian","yes","yes","","yes","","","","","","","","","","",NA,NA,"","","no","yes","no","BC Ministry List","","","","",NA,NA,"",33,2,0,1,1,3,2,0,0,1,0,5,0,0
"322","Rasbora trilineata ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,1,"",1,2,0,0,0,0,0,0,0,0,0,0,0,0
"323","Richardsonius balteatus","Redside shiner","shiner","fish","yes","","","yes","Alberta","","","","","","","","","",NA,NA,"yes","Montana","no","yes","no","Crossman 1991, BC Ministry List","","Clancy and Bourret 2020","","",NA,NA,"",5,1,1,0,0,0,0,0,0,0,7,6,0,0
"324","Rorippa nasturtium-aquaticum","Common water cress","cress","aquatic plant","yes","","","no","","","","","","","","","","",NA,NA,"","","","","","BC Ministry List","","","","",NA,2,"",2,0,0,0,0,1,0,0,0,0,0,0,0,0
"325","Rotala","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately High","",NA,7,"",7,1,0,0,0,1,0,0,0,1,0,0,0,0
"326","Rotala indica ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Cohen et al. 2007","","","","",NA,1,"",1,0,0,0,0,1,0,0,0,0,0,0,0,0
"327","Ruellia","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,33,"",34,2,0,0,0,4,1,0,0,0,0,0,0,0
"328","Rutilus rutilus ","Roach ","Roach","fish","","","","","","No","","","","","","","","",NA,NA,"","","yes","no","yes","Therriault and Webb 2017","Therriault and Webb 2017","","","",NA,NA,"",217,39,8,8,1,47,208,9,5,29,42,2,4,8
"329","Sagittaria","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,54,"",59,4,0,0,1,8,1,1,0,8,1,0,0,0
"330","Sagittaria natans","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Cohen et al. 2007","","","","",NA,1,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"331","Sagittaria platyphylla","Delta arrowhead","arrowhead","aquatic plant","","","no","","","","yes","","","","","","","",NA,NA,"","","no","yes","yes","DFO SLRA 2014, cohen et al. 2007","","","","",NA,NA,"",7,3,0,0,0,1,0,0,0,2,0,0,0,0
"332","Sagittaria subulata","Awl-leaf arrowhead","arrowhead","aquatic plant","","","","no","","","yes","","","","","","","",NA,NA,"","","yes","no","yes","DFO SLRA 2014, Azan et al. 2015, cohen et al. 2007","Azan et al. 2015","","","",NA,NA,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"333","Salmo salar ","Atlantic salmon","salmonid","fish","","yes","yes","","Washington, Scotland","","","","yes","","yes","","","",NA,NA,"yes","Alaska","no","yes","yes","Crossman 1991, Mandrak et al 2014, DFO aquaculture liscence, BC Ministry List",""," (Wing et al. 1992; Piccolo and Orlikowska 2012)","","",NA,NA,"",610,125,31,16,25,2470,2180,26,16,50,108,188,127,11
"334","Salmo trutta","Brown trout","salmonid","fish","","yes","yes","","","","","","","","","","","",NA,NA,"yes","Montana","yes","yes","yes","Crossman 1991, BC Ministry List","","Clancy and Bourret 2020","","",NA,NA,"",758,53,10,10,10,248,1232,9,6,44,96,44,57,27
"335","Salvelinus alpinus","Arctic char","char","fish","","","","","Manitoba, Alaska","","","","","","yes","","","",NA,NA,"","","no","yes","no","Crossman 1991, DFO aquaculture liscences","","","","",NA,NA,"",127,23,6,3,3,198,384,1,2,2,63,31,6,2
"336","Salvelinus confluentus","Bull trout","salmonid","fish","","","","","","","","","","","","","","",NA,NA,"yes","Montana","no","no","no","Crossman 1991","","Clancy and Bourret 2020","","",NA,NA,"",50,0,1,1,0,0,29,1,0,6,157,35,4,0
"337","Salvelinus fontinalis","Brook trout (eastern)","eastern)","fish","","yes","yes","","","","","","","","yes","","","",NA,NA,"yes","Montana, Idaho, Washington, Alberta","no","yes","no","Crossman 1991, DFO aquaculture liscences, BC Ministry List","","Clancy and Bourret 2020, Benjamin and Baxter 2010, Hofman et al. 2014, (Parker and Schindler 2006; Pacas and Taylor 2015)","","",NA,NA,"",356,28,0,6,3,100,406,7,2,11,120,49,20,11
"338","Salvelinus fontinalis x Salvelinus namaycush","Brook trout x lake trout hybrid ","hybrid","fish","","","","","","","","","","","","","","",NA,NA,"","","no","","","Crossman 1991","","","","",NA,NA,"",4,0,0,0,0,3,13,0,0,0,0,0,0,0
"339","Salvelinus malma","Dolly varden trout","salmonid","fish","","","","","","","","","","","","","","",NA,NA,"","","no","yes","no","Crossman 1991","","","","",NA,NA,"",21,3,0,2,1,0,18,0,1,2,99,24,1,1
"340","Salvelinus namaycush ","Lake Trout","salmonid","fish","yes","","","yes","","","","","","","yes","","","",NA,NA,"yes","Montana, Alberta","no","yes","yes","DFO aquaculture liscence, BC Ministry List","","Ellis et al. 2015, Clancy and Bourret 2020, Donald and Alger 1993","","",NA,NA,"",217,5,2,4,0,15,327,6,4,6,67,9,9,8
"341","(Salvelinus namaycush x Salvelinus malma OR Salvelinus namaycush x Salvelinus confluentus)","Lake trout x dolly varden or bull trout","salmonid","fish","","","","","","","","","","","","","","",NA,NA,"","","","","","Crossman 1991","","","","",NA,NA,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"342","Salvelinus trutta x Salvelinus namaycush OR Splake","Splake","Splake","fish","yes","","","","","","","","","","","","","",NA,NA,"","","no","yes","no","BC Ministry List","","","","",NA,NA,"",9,5,5,5,5,5,18,5,5,5,5,5,5,5
"343","Salvinia auriculata","eared watermoss","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Keller and Lodge 2007","","","","",NA,2,"",2,0,0,0,0,4,1,3,0,0,0,0,0,0
"344","Salvinia oblongifolia","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,1,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"345","Sander canadensis ","Sauger ","Sauger","fish","","","","","","No","","","","","","","","",NA,NA,"","","no","yes","no","Therriault and Webb 2017","Therriault and Webb 2017","","","",NA,NA,"",10,0,0,0,0,4,23,1,1,3,2,0,0,0
"346","Sander vitreus ","Walleye ","Walleye","fish","","yes","","yes","","No","","","","","","","","",NA,NA,"yes","Montana","no","yes","no","Therriault and Webb 2017, BC Ministry List","Therriault and Webb 2017, DFO BC RA 2010","Clancy and Bourret 2020","","",NA,NA,"",101,1,1,5,2,20,231,7,5,1,22,3,1,2
"347","Saprolegnia parasitica","water mould","Ootmycetes","fungus","","","","","","","","","","","","","","",NA,NA,"","","","","","","","(de la Bastide et al. 2018)","","",NA,11,"",12,6,0,5,0,85,37,0,0,2,2,1,0,0
"348","Schizopera","","copepoda","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Duggan et al. 2018","","","on sword plants and Vallisneria plants","",NA,6,"",6,0,0,0,0,0,0,0,1,0,0,0,0,0
"349","Scirpus","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,135,"",142,2,0,1,3,15,15,1,4,9,17,3,0,5
"350","Silurus glanis ","Wels catfish","catfish","fish","","yes","no","","","","","yes","yes","","","","","",NA,NA,"","","yes","no","yes","Mandrak et al 2014","","Roy et al. 2018","","",NA,NA,"",79,12,1,3,0,49,37,1,2,11,0,0,6,6
"351","Siniperca chuatsi ","Mandarin fish/Chinese perch","perch","fish","","","","","","","","yes","yes","","","","","",NA,NA,"","","yes","no","no?","Mandrak et al 2014","","Roy et al. 2018","","",NA,NA,"",13,5,1,4,0,46,13,0,0,0,0,0,0,0
"352","Sinocalanus doerrii","asian calanoid copepod","copepoda","zooplankton","","","","","","","","","","","","","","",NA,NA,"yes","Washington","yes","yes","no","","","Cordell et al. 2008","","",NA,NA,"",5,0,0,0,0,1,0,0,1,0,1,0,0,0
"353","Spathiphyllum","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","High","",NA,4,"",5,4,1,0,0,4,0,0,1,2,0,0,0,0
"354","(Spathiphyllum wallisii OR Stenospermatium popatenense var. wallisii)","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,59,"",3,3,0,0,0,2,0,0,0,0,0,0,0,0
"355","Sphaerium corneum","European Fingernail Clam ","mollusc","invertebrate","","","yes","","","","","","","","","","","",NA,NA,"","","yes","yes","yes","Schroeder et al. 2014","Schroeder et al. 2014","Mackie 1976; Mackie 2000","","",NA,NA,"",2,2,0,0,0,0,0,0,1,0,0,0,0,0
"356","Stizostedion vitreum ","Walleye","Walleye","fish","","","","","","","","","","","","","","",NA,NA,"","","no","yes","no","Crossman 1991","","","","",NA,NA,"",67,12,0,1,2,21,251,4,4,8,19,3,0,3
"357","Syngonium","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,3,"",3,0,0,0,0,3,3,0,1,1,0,0,0,0
"358","Tanichthys albonubes","white cloudmountain minnow","minnow","fish","","","","","","","","yes","","","","","","",NA,NA,"","","yes","no","no","Gertzen et al. 2007","","","","",NA,NA,"",3,9,0,0,1,4,5,0,0,0,0,0,0,0
"359","Tanichthys albonubes ","white cloudmountain minnow","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family climate match ",NA,3,"",3,9,0,0,1,4,5,0,0,0,0,0,0,0
"360","Tardigrada","tardigrade","tardigrade","invertebrate","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Duggan et al. 2018","","","on Vallisneria plants","",NA,22,"",23,0,0,0,0,4,1,0,0,8,9,12,0,0
"361","(Tarebia granifera OR Thiara granifera) ","Quilted Melania ","mollusc","invertebrate","","","No ","","","","","yes","","","","","","",NA,NA,"","","yes","yes","yes?","Schroeder et al. 2014, DFO SLRA 2014","","","","",NA,NA,"",54,6,0,0,0,1,1,1,1,2,0,0,0,2
"362","Taxiphyllum","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately High","",NA,2,"",2,1,0,0,0,1,0,0,0,0,0,0,0,0
"363","Thalia dealbata","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately High","",NA,4,"",5,0,0,0,0,0,0,0,0,0,0,0,0,0
"364","Thalia geniculata","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Low","",NA,2,"",2,0,0,1,0,0,1,0,0,1,0,0,0,0
"365","Thymallus arcticus","Arctic grayling","grayling","fish","","","","","Yukon, Alaska, Northwest Terrirtories","","","","","","","","","",NA,NA,"","","no","yes","yes","Crossman 1991","","","","",NA,NA,"",14,1,0,0,0,0,19,0,0,2,92,16,0,1
"366","Tinca tinca","Tench","Tench","fish","yes","","","no","USA","","","","","","","","","",NA,NA,"","","yes","yes","yes","Crossman 1991, BC Ministry List","","","","",NA,NA,"",54,10,1,2,1,74,62,1,1,8,2,0,1,3
"367","(Tonina fluviatilis OR Hyphydra amplexicaulis OR Tonina fluviatilis f. parvifolia)","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Low","",NA,6,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"368","Trachemys scripta","red eared Slider","Slider","reptile","yes","yes","","no","","","","yes","","","","","","",NA,NA,"","","no","yes","yes","BC Ministry List","","","","",NA,NA,"",193,82,7,8,1,7,4,3,3,15,2,0,1,8
"369","Trapa natans","water chestnut","","aquatic plant","","","yes","","","","","yes","","","","","","",NA,NA,"","","","","","Keller and Lodge 2007","","","","",NA,47,"",47,4,0,0,0,3,5,2,1,1,1,0,0,0
"370","Trichocerca","","rotifer","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Duggan et al. 2018","","","on Vallisneria plants","",NA,4,"",4,0,0,0,0,3,5,0,0,2,1,0,0,0
"371","Tulbaghia","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Low","",NA,1,"",2,0,0,0,0,7,1,0,0,0,0,0,0,0
"372","Tulbaghia violacea","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Low","",NA,1,"",2,0,0,0,0,7,1,0,0,0,0,0,0,0
"373","typha angustifolia","narrow-leaved cattail","","aquatic plant","","","yes","","","","yes","","","","","","","",NA,NA,"yes","Montana","","","","Keller and Lodge 2007","","","","",NA,114,"montana",115,1,0,0,2,16,10,1,0,1,2,0,0,2
"374","Typha minima","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","High","",NA,8,"",9,0,0,0,0,2,1,0,0,2,1,0,0,0
"375","Umbra limi","Central Mud Minnow","Minnow","fish","","","","","","","","","","","","","","",NA,NA,"yes","Montana","no","yes","no","","","Clancy and Bourret 2020","","",NA,NA,"",2,1,0,1,0,0,1,0,0,1,1,0,0,0
"376","Vallisneria americana","American tapegrass","tapegrass","aquatic plant","yes","","","no","","","","","","","","","","",NA,NA,"","","no","yes","yes","BC Ministry List, Cohen et al. 2007","","","","",NA,NA,"",69,3,0,0,1,3,6,5,2,1,3,1,0,1
"377","Vallisneria asiatica ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Cohen et al. 2007","","","","",NA,1,"",1,1,0,0,0,0,0,0,0,0,0,0,0,0
"378","Vallisneria gigantea","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Cohen et al. 2007","","","","",NA,2,"",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"379","(Vallisneria rubra OR Maidenia rubra)","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately High","",NA,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"380","Vallisneria spiralis ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Cohen et al. 2007","","","","",NA,26,"",26,3,0,0,0,3,0,0,0,3,0,0,0,0
"381","Valvata piscinalis ","European Stream Valvata ","mollusc","invertebrate","","","yes","","","","","","","","","","","",NA,NA,"","","yes","yes","yes","Schroeder et al. 2014","Harman 2000; Haynes et al. 2005","","","",NA,NA,"",1,0,0,0,0,0,0,0,1,1,0,0,0,0
"382","Veronica anagallis-aquatica","Blue water speedwell","speedwell","aquatic plant","yes","","","no","","","","","","","","","","",NA,NA,"","","","","","BC Ministry List","","","","",NA,2,"",2,0,0,0,0,1,1,0,0,0,1,0,0,0
"383","Viral hemorrhagic septicemia virus ","Viral hemorrhagic septicemia virus (VHSV)","","virus","","","","","","","","","","","yes","","","",NA,NA,"","","no?","no?","yes?","","","","","",NA,NA,"",50,6,2,7,0,126,44,2,8,0,42,11,1,2
"384","Xenentodon cancila ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,1,"",1,0,0,0,0,2,2,0,0,0,0,0,0,0
"385","Xenopus laevis","African clawed frog","frog","amphibian","","","","","","","","yes","yes","yes","","","","",NA,NA,"","","","","","Keller and Lodge 2007","","","","",NA,623,"",682,54,4,11,19,38,30,2,4,79,3,3,0,8
"386","Xiphophorus hellerii","Green swordtail","swordtail","fish","","","","","","","","","","","","","","",NA,NA,"","","yes","yes","yes","Crossman 1991","","","","",NA,NA,"",28,9,1,0,0,7,2,0,0,1,0,0,0,0
"387","Xiphophorus maculatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,26,"",26,16,2,0,0,11,5,0,0,0,0,1,0,0
"388","Xiphophorus variatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,6,"",6,1,0,0,0,2,1,0,0,0,0,0,0,1
"389","Zizania aquatica","Wild rice","rice","aquatic plant","yes","","","no","","","","","","","","","","",NA,NA,"","","","","","BC Ministry List","","","","",NA,4,"",4,0,0,0,0,5,1,0,0,0,0,0,0,0
"390","Zostera japonica","Japanese eel-grass","grass","aquatic plant","yes","","","no","","","","","","","","","","",NA,NA,"","","","","","BC Ministry List","","","","",NA,50,"",52,1,0,0,0,10,5,2,2,0,30,17,2,1
