"","Species.name","common.name","taxa_smaller","taxa_big","present.in.BC","established.in.BC","established.in.Canada","native.to.part.of.BC","source.region.to.BC","hitlist..according.to.Therriault.and.Webb.","ornamental.nursery.trade","aquarium.pet..trade","live.food.market","biological.supply","aquaculture","fish.stocking","recreational.boating","bait.industry","shipping.and.ballast","canals.and.diversions","adjacent.region","if.adjacent..where","Listed.in.publications","Risk.assessment.pubs","impact.other.pubs","notes","notes.2","X","X.1","X.2","wos"
"316","Aequidens latifrons ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"317","Aequidens pulcher ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"318","Aequidens rivulatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"319","Alcolapia alcalicus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"320","Alestopetersius caudalis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"321","Alestopetersius smykalai ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"322","Alosa mediocris","Hickory shad","shad","fish","","","","","","No","","","","","","","","",NA,NA,"","","Therriault and Webb 2017","Therriault and Webb 2017","","","","",NA,"",0
"323","Alosa sapidissima","American shad","shad","fish","","yes","yes","","USA","","","","","","","","","",NA,NA,"yes","","Crossman 1991, BC Ministry List","","","Authorized Introduction, spread of invasive from USA","","Fraser river, Le Mare Lake, Skeena river, sooke inlet, trevor channel, georgia strait, cheakamus river, little sand creek, hunter creek, marshall creek, nicola river, thompson river, williamson lake",NA,"",34
"324","Altolamprologus calvus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"325","Altolamprologus compressiceps ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"326","Amatitlania nigrofasciata ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",12
"327","Amblyeleotris gymnocephala ","","","fish","","","","","","","","","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"328","Ameiurus melas","Black bullhead","bullhead","fish","","yes","yes","","","","","","","yes","","","","",NA,NA,"yes","Montana","Crossman 1991, BC Ministry List, Keller and Lodge 2007","","Clancy and Bourret 2020","Unintentional, invasive as a result of man's cations (canals etc), including after intential reslease elsewhere (e.g. USA)","","dala river, elk lake, shawnigan lake, ",NA,"",58
"329","Ameiurus nebulosus ","Brown bullhead","bullhead","fish","","yes","yes","","","Yes","","","","","","","","",NA,NA,"yes","Montana, Washington","Crossman 1991, Mandrak et al 2014, Therriault and Webb 2017, BC Ministry List","Therriault and Webb 2017","Clancy and Bourret 2020, Bonar et al. 2005","Authorized Introduction, Unintentional, invasive as a result of man's cations (canals etc), including after intential reslease elsewhere (e.g. USA)","","",NA,"",52
"330","Ameiurus platycephalus ","Flat bullhead","bullhead","fish","","","","","","Yes","","","","","","","","",NA,NA,"yes","Montana","Therriault and Webb 2017","Therriault and Webb 2017","Clancy and Bourret 2020","","","",NA,"",1
"331","Ameriurus brunneus","Snail bullhead","bullhead","fish","","","","","","Yes","","","","","","","","",NA,NA,"yes","Montana","Therriault and Webb 2017","Therriault and Webb 2017","Clancy and Bourret 2020","","","",NA,"",0
"332","Ameriurus natalis","Yellow bullhead","bullhead","fish","yes","","","","","","","","","","","","","",NA,NA,"yes","Montana","BC Ministry List","","Clancy and Bourret 2020","","","",NA,"",0
"333","Amia calva","bowfin","bowfin","fish","","","","","Ontario","","","","","","","","","",NA,NA,"","","Crossman 1991","","","Import","","",NA,"",2
"334","Amphilophus citrinellus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",2
"335","Amphilophus labiatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",2
"336","Anabas testudineus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",12
"337","Anguilla australis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",28
"338","Anguilla bicolor ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",5
"339","Anguilla japonica ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",60
"340","Anguilla rostrata ","American eel","eel","fish","","","yes","","Newfoundland, Quebec, NY","","","yes","yes","","","","","",NA,NA,"","","Crossman 1991, Mandrak et al 2014","","","import (in transit)","","",NA,"",52
"341","Anomalochromis thomasi ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"342","Anostomus anostomus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"343","Aphyocharax anisitsi ","Bloodfin tetra","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",0
"344","Aphyocharax paraguayensis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"345","Aphyocharax rathbuni ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"346","Aphyosemion australe ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"347","Aphyosemion filamentosum ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"348","Aphyosemion gabunense ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"349","Aphyosemion striatum ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"350","Apistogramma agassizii ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"351","Apistogramma atahualpa ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"352","Apistogramma bitaeniata ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"353","Apistogramma borellii ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"354","Apistogramma cacatuoides ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"355","Apistogramma commbrae ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"356","Apistogramma cruzi ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"357","Apistogramma eunotus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"358","Apistogramma gibbiceps ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"359","Apistogramma hongsloi ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"360","Apistogramma linkei ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"361","Apistogramma macmasteri ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"362","Apistogramma nijsseni ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"363","Apistogramma panduro ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"364","Apistogramma piauiensis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"365","Apistogramma trifasciata ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"366","Apistogramma tucurui ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"367","Apistogramma viejita ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"368","Aplocheilichthys myersi ","","","fish","","","","","","","","","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"369","Aplocheilichthys normani ","norman's lampeye","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family climate match ","",NA,"",0
"370","Aplocheilus dayi ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"371","Aplocheilus lineatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",4
"372","Aplocheilus panchax ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",1
"373","Apteronotus albifrons ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",5
"374","Apteronotus leptorhynchus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",6
"375","Archocentrus myrnae ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"376","Arnoldichthys spilopterus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"377","Astronotus ocellatus","Oscar","Oscar","fish","yes","","","","","","","","","","","","","",NA,NA,"","","BC Ministry List","","","","","",NA,"",13
"378","Astyanax fasciatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",8
"379","Astyanax jordani ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",2
"380","Astyanax mexicanus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",17
"381","Atractosteus spatula ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",5
"382","Auchenipterichthys thoracatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"383","Awaous bustamantei ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"384","Balantiocheilos melanopterus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"385","Barbonymus altus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",1
"386","Barbonymus schwanenfeldii ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",4
"387","Beaufortia kweichowensis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"388","Beaufortia leveretti ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"389","Bedotia gaeyi","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"390","Betta splendens","Siamese fighting fish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Gertzen et al. 2007","","","","","",NA,"",15
"391","Boehikee fredcochui ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"392","Boraras maculatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"393","Botia dario ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"394","Botia histrionica ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"395","Botia kubotai ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"396","Botia lohachata ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"397","Botia macracanthus","Clown loach","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Gertzen et al. 2007","","","","","",NA,"",0
"398","Botia pulchripinnis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"399","Botia striata ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"400","Brachygobius doriae ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",1
"401","Brachygobius xanthozonus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"402","Brochis britskii ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"403","Brochis multiradiatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"404","Brochis splendens ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"405","Brycinus longipinnis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"406","Bunocephalus coracoideus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"407","Bunocephalus knerii ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"408","Callichthys callichthys ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",1
"409","Carassius auratus ","Goldfish","Goldfish","fish","","yes","yes","","","","yes","yes","yes","","","","","",NA,NA,"","","Crossman 1991, Mandrak et al 2014, Gartner et al. 2011, BC Ministry List, Keller and Lodge 2007, Gertzen et al. 2007","","","","","",NA,"",272
"410","Carassius carassius ","Crucian carp","carp","fish","","","no","","","","","yes","yes","yes","","","","",NA,NA,"","","Mandrak et al 2014","","Roy et al. 2018","","","",NA,"",400
"411","Carassius gibelio","Prussian carp","carp","fish","","","","","","","","","","","","","","",NA,NA,"yes","Alberta","","","Ruppert et al. 2017","","","",NA,"",133
"412","Catostomus catostomus","Longnose sucker","sucker","fish","","","","","Alberta","","","","","","","yes","","",NA,NA,"yes","Montana","Crossman 1991","","Clancy and Bourret 2020","Import","forage species","Import",NA,"",104
"413","Catostomus commersonii","White sucker","sucker","fish","","","","","Alberta","","","","","","","yes","","",NA,NA,"yes","Montana","Crossman 1991","","Clancy and Bourret 2020","Import","forage species","Import",NA,"",21
"414","Centromochlus reticulatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"415","Chaca chaca","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"416","Chalceus macrolepidotus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"417","Channa asiatica ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",3
"418","Channa gachua ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",3
"419","Channa lucius ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"420","Channa maculata","Blotched snakehead","snakehead","fish","yes","","","","","","","yes","yes","","","","","",NA,NA,"","","BC Ministry List, Mandrak et al. 2014","","Roy et al. 2018","not climate match to canada","family not a match","",NA,"",5
"421","Channa micropeltes ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",4
"422","Channa punctata ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",5
"423","Channa striata ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",8
"424","Characidium fasciatum ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"425","Chilodus punctatus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"426","Chromobotia macracanthus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"427","Cirrhina molitorella ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"428","Cobitis taenia ","Spined loach","loach","fish","","yes","no","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al 2014","","","","","",NA,"",5
"429","Colisa lalia","Dwarf gourami","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Gertzen et al. 2007","","","","","",NA,"",6
"430","Colossoma macropomum ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",11
"431","Coregonus clupeaformis","Lake whitefish","whitefish","fish","","yes","","yes","","","","","","","","","","",NA,NA,"","","Crossman 1991, BC Ministry List","","","","","",NA,"",64
"432","Corydoras adolfoi ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",0
"433","Corydoras aeneus ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",3
"434","Corydoras agassizii ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",0
"435","Corydoras arcuatus ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",1
"436","Corydoras atropersonatus ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",0
"437","Corydoras axelrodi ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",1
"438","Corydoras blochi ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",0
"439","Corydoras concolor ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",0
"440","Corydoras delphax ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",0
"441","Corydoras duplicareus ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",0
"442","Corydoras elegans ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",0
"443","Corydoras eques ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",0
"444","Corydoras habrosus ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",0
"445","Corydoras hastatus ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",0
"446","Corydoras julii ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",0
"447","Corydoras melanistius ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",0
"448","Corydoras melanotaenia ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",0
"449","Corydoras melini ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",0
"450","Corydoras metae ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",0
"451","Corydoras nattereri ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",0
"452","Corydoras ornatus ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",0
"453","Corydoras paleatus ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",5
"454","Corydoras panda ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",0
"455","Corydoras polystictus ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",0
"456","Corydoras punctatus ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",0
"457","Corydoras pygmaeus ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",0
"458","Corydoras rabauti ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",0
"459","Corydoras reticulatus ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",0
"460","Corydoras schwartzi ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",0
"461","Corydoras spilurus ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014, Gertzen et al. 2007","","","not climate match to canada","family not a match","",NA,"",0
"462","Corydoras sterbai ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"463","Corydoras trilineatus ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"464","Corydoras zygatus ","Corydoras catfish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"465","Couesius plumbeus","Lake chub","chub","fish","","","","","Alberta","","","","","","","yes","","",NA,NA,"","","Crossman 1991","","","Import","forage species","Import",NA,"",2
"466","Crenuchus spilurus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"467","Crossocheilus latius ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"468","Crossocheilus siamensis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family climate match ","",NA,"",0
"469","Ctenobrycon hauxwellianus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"470","Ctenobrycon spilurus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","Mandrak et al. 2014","","","not climate match to canada","family not a match","",NA,"",0
"471","Ctenopharyngodon idella ","Grass carp","carp","fish","","","no","","","Yes","","yes","yes","","","","","",NA,NA,"yes","Idaho","Mandrak et al 2014, Therriault and Webb 2017","Therriault and Webb 2017, DFO Canadawide RA","Erickson et al. 2017, Roy et al. 2018","","","",NA,"",172
