Species name,common name,taxa_smaller,taxa_big,present in BC,established in BC,established in Canada,native to part of BC,source region to BC,hitlist (according to Therriault and Webb),ornamental/nursery trade,aquarium pet  trade,live food market,biological supply,aquaculture,fish stocking,recreational boating,bait industry,shipping and ballast,canals and diversions,adjacent region,"if adjacent, where",Listed in publications,Risk assessment pubs,impact/other pubs,notes,notes 2,,,
Glyceria declinata,Waxy mannagrass,mannagrass,aquatic plant,yes,,,no,,,,,,,,,,,,,,,BC Ministry List,,,,,,,
Glyceria fluitans,Floating sweet-grass,grass,aquatic plant,yes,,,no,,,,,,,,,,,,,,,BC Ministry List,,,,,,,
Glyceria maxima,Giant mannagrass,mannagrass,aquatic plant,yes,,yes,no,,,yes,,,,,,,,,,,,"BC Ministry List, Keller and Lodge 2007",,,,,,,
Glyceria,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Gymnocoronis spilanthoides,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Cohen et al. 2007,,,,,,,
Hemianthus callitrichoides OR Micranthemum umbrosum,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Hemianthus micranthemoides OR Micranthemum micranthemoides,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Hemianthus,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Hemigraphis exotica,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Hemigraphis repanda OR Ruellia repanda,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Hesperantha coccinea ,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Heteranthera zosterifolia,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Hibiscus acetosella,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Hibiscus coccineus,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Hottonia palustris ,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Houttunyia cordata,chameleon plant,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Keller and Lodge 2007,,,,,,,
Houttuynia,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Hydrocharis morsus-ranae,european frog-bit,,aquatic plant,,,yes,,,,yes,,,,,,,,,,,,Keller and Lodge 2007,,,,,,,
Hydrocotyle leucocephala,,,aquatic plant,,,,,,,,,,,,,,,,,,,Cohen et al. 2007,,,,,,,
Hydrocotyle sibthorpioides OR Hydrocotyle maritima OR Hydrocotyle rotundifolia,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Hydrocotyle,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Hydrotriche hottoniiflora ,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Hygrophila angustifolia OR Hygrophila salicifolia,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,"Azan et al. 2015, cohen et al. 2007",Azan et al. 2015,,Moderately High,,,,
Hygrophila balsamica,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,High,,,,
Hygrophila corymbosa,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,High,,,,
Hygrophila difformis OR Synnema triflorum,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,High,,,,
Hygrophila polysperma ,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Cohen et al. 2007,,,,,,,
Hygrophila rosanervis,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Cohen et al. 2007,,,,,,,
Hygrophila salicifolia,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Cohen et al. 2007,,,,,,,
Hygrophila,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,"Azan et al. 2015, cohen et al. 2007",Azan et al. 2015,,High,,,,
Hygrophila stricta OR Nomaphylla stricta,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Hymenocallis liriosome,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Hymenocallis,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Iris kaempferi,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Iris pseudacorus,Yellow iris,iris,aquatic plant,yes,,yes,no,,,yes,,,,,,,,,,,,"BC Ministry List, Keller and Lodge 2007",,,,,,,
Iris,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Isolepis cernua OR Scirpus cernuus,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Juncus brevicaudatus,Short-tailed rush,rush,aquatic plant,yes,,,no,,,,,,,,,,,,,,,BC Ministry List,,,,,,,
Juncus bulbosus,Bulbous rush,rush,aquatic plant,yes,,,no,,,,,,,,,,,,,,,BC Ministry List,,,,,,,
Juncus repens,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Juncus,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Jussiaea diffusa,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Lagarosiphon madagascarensis,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Lagarosyphon major,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Cohen et al. 2007,,,,,,,
Lilaeopsis brasiliensis,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Lilaeopsis carolinensis,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Lilaeopsis mauritiana,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Lilaeopsis novae-zelandiae,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Moderately High,,,,
Limnophila aquatica,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Moderately High,,,,
Limnophila aromatica,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Limnophila hippuroides,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Limnophila indica,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Limnophila sessiflora ,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Cohen et al. 2007,,,,,,,
