Species name,common name,taxa_smaller,taxa_big,present in BC,established in BC,established in Canada,native to part of BC,source region to BC,hitlist (according to Therriault and Webb),ornamental/nursery trade,aquarium pet  trade,live food market,biological supply,aquaculture,fish stocking,recreational boating,bait industry,shipping and ballast,canals and diversions,adjacent region,"if adjacent, where",Listed in publications,Risk assessment pubs,impact/other pubs,notes,notes 2,,,
Icthyomyzon gagei ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Ictiobus cyprinellus ,Bigmouth buffalo,buffalo,fish,,yes,yes,,,,,yes,yes,,,,,,,,,,Mandrak et al 2014,,,,,,,
Inpaichthys kerri ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Jordanella floridae ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Kribia kribensis ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Kryptopterus bicirrhis ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Kryptopterus cryptopterus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Kryptopterus macrocephalus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Kryptopterus minor ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Ladigesia roloffi ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Lampetra ayresii ,Western river lamprey ,lamprey,fish,,,,,,No,,,,,,,,,,,,,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,
Lampetra fluviatilis ,River lamprey ,lamprey,fish,,,,,,Yes,,,,,,,,,,,,,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,
Lampetra pacifica ,Pacific brook lamprey ,lamprey,fish,,,,,,No,,,,,,,,,,,,,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,
Lates calcarifer,Barramundi or Asian sea bass,bass,fish,,,,,,,,,,,yes,,,,,,,,DFO aquaculture liscence,,,,,,,
Lepidarchus adonis ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Lepidocephalichthys guntea ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Lepidocephalus thermalis ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Lepisosteus oculatus ,Spotted gar,gar,fish,,yes,yes,,,,,yes,,,,,,,,,,,Mandrak et al 2014,,,,,,,
Lepisosteus osseus ,Longnose gar,gar,fish,,yes,yes,,,,,yes,,,,,,,,,,,Mandrak et al 2014,,,,,,,
Lepisosteus platyrhincus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Lepomis cyanellus,Green sunfish,sunfish,fish,,,,,,,,,,,,,,,,,yes,Washington,,,Bonar et al. 2005,,,,,
Lepomis gibbosus,Pumpkinseed,sunfish,fish,,yes,yes,,USA,Yes,,,,,,,,,,,yes,"Montana, Washington","Crossman 1991, Therriault and Webb 2017, BC Ministry List","Therriault and Webb 2017, DFO 2010 BC RA","Clancy and Bourret 2020, Bonar et al. 2005",,"Authorized Introduction, Released intentially by fish hobbyist, Unintentional, invasive as a result of man's cations (canals etc), including after intential reslease elsewhere (e.g. USA)",spread of invasive,,
Lepomis gulosus,Warmouth,sunfish,fish,,,,,,,,,,,,,,,,,yes,Washington,,,Bonar et al. 2005,,,,,
Lepomis macrochirus ,Bluegill,sunfish,fish,yes,,,,,,,yes,,,,,,,,,yes,"Montana, Washington","Mandrak et al 2014, BC Ministry List",,"Clancy and Bourret 2020, Bonar et al. 2005",,,,,
Lepomis megalotis ,Longear sunfish ,sunfish,fish,,yes,yes,,,,,yes,,,,,,,,,yes,Montana,Mandrak et al 2014,,Clancy and Bourret 2020,,,,,
Leporinus fasciatus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Leporinus octofasciatus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Leptobotia guilinensis ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Lethenteron alaskense ,Alaskan brook lamprey,lamprey,fish,,,,,,No,,,,,,,,,,,,,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,
Leuciscus idus ,ide,ide,fish,,yes,no,,,,,yes,yes,,,,,,,,,,Mandrak et al 2014,,Roy et al. 2018,,,,,
Lota lota,burbot,burbot,fish,,,,,Northwest territories,,,,,,,,,,,,,,Crossman 1991,,,,Authorized Introduction,,,
Megalechis thoracata ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Metynnis argenteus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Metynnis hypsauchen ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Metynnis lippincottianus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Metynnis maculatus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Micropterus dolomieu,Smallmouth bass,bass,fish,,yes,yes,,,Yes,,,,,,,,,,,yes,Montana,"Crossman 1991, Therriault and Webb 2017, BC Ministry List","Therriault and Webb 2017, DFO 2010 BC RA, DFO Atlantic salmon RA",Clancy and Bourret 2020,,Authorized Introduction,,,
Micropterus salmoides ,Largemouth bass,bass,fish,,yes,yes,,USA,Yes,,yes,yes,,,,,,,,yes,"Montana, Idaho, Washington","Crossman 1991, Mandrak et al 2014, Therriault and Webb 2017, BC Ministry List, Keller and Lodge 2007","Therriault and Webb 2017, DFO 2010 BC RA","Clancy and Bourret 2020, Braun and Walser 2011,Christensen and Moore 2010; Hawkins et al. 2020; Marsha et al. 2021, bonar et al. 2005",,,,,
Misgurnus anguillicaudatus ,Pond loach/ Oriental weatherfish,weatherfish,fish,,yes,yes,,,,,yes,yes,,,,,,,,yes,"Idaho, Washington","Mandrak et al 2014, BC Ministry List, Keller and Lodge 2007",,"Urquhart and Koetsier 2014, Tabor et al. 2001, Roy et al. 2018",,,,,
Misgurnus fossilis ,weatherfish,weatherfish,fish,,yes,no,,,,,yes,,,,,,,,,,,Mandrak et al 2014,,,,,,,
Moenkhausia ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Moenkhausia oligolepis ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Moenkhausia pittieri ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Moenkhausia sanctaefilomenae ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Mogurnda adspersa ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Mogurnda mogurnda ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Monopterus albus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Morone mississippiensis,Yellow bass,bass,fish,,,,,,Yes,,,,,,,,,,,,,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,
Morone saxatilis ,Striped bass,bass,fish,,,yes,,,,,yes,yes,,,,,,,,,,Mandrak et al 2014,,,,,,,
Morone saxatilis x chrysops ,Wiper,Bass,fish,,,no,,,,,yes,yes,,,,,,,,,,Mandrak et al 2014,,Roy et al. 2018,,,,,
Myleus schomburgkii ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Mylopharynghodon piceus,Black carp,carp,fish,,,,,,Yes,,,yes,,,,,,,,,,Therriault and Webb 2017,"Therriault and Webb 2017, DFO Canadawide RA",Roy et al. 2018,,,,,
Myloplus rubripinnis ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Mylossoma aureum ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Mystus leucophasis ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Mystus micracanthus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Myxocyprinus asiaticus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Nemacheilus fasciatus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Nematobrycon lacortei ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Nematobrycon palmeri ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Neoceratodus forsteri,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Nomorhamphus liemi ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Notemigonus crysoleucas,golden shiner,shiner,fish,,,yes,,,,,yes,,,,,,yes,,,yes,Washington,Keller and Lodge 2007,,Bonar et al. 2005,,,,,
Nothobranchius guentheri ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Nothobranchius rachovii ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Nothobranchius rubripinnis,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Notropis hudsonius,Margined madtom or spottail shiner,shiner,fish,,yes,,yes,,,,maybe,,,,,,,,,,,"Crossman 1991, BC Ministry List",,,Exotic,Authorized Introduction,,,
Noturus albater ,Ozark madtom ,madtom,fish,,,,,,Yes,,,,,,,,,,,,,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,
Noturus elegans ,Elegant madtom ,madtom,fish,,,,,,Yes,,,,,,,,,,,,,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,
Odontamblyopus rubicundus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Oncorhynchus aguabonita,Golden trout,salmonid,fish,,,,,,,,maybe,,,,,,,,,,,Crossman 1991,,,Exotic,Authorized Introduction,,,
Oncorhynchus clarki lewisi x Oncorhynchus mykiss,Westslope cutthroat trout x rainbow trout hybrid,salmonid,fish,,,,,,,,,,,,,,,,,,,Crossman 1991,,,,Authorized Introduction,,,
Oncorhynchus clarkii clarkii,Cutthroat Trout,salmonid,fish,,,,,,,,,,,yes,,,,,,,,DFO aquaculture liscence,,,,,,,
Oncorhynchus keta,Chum salmon,salmonid,fish,,,,,"Alaska, Yukon",,,,,,,,,,,,,,Crossman 1991,,,Import,Authorized Introduction,,,
Oncorhynchus kisutch,Coho salmon,salmonid,fish,,,,,,,,,,yes,yes,,,,,,,,"DFO aquaculture liscence, Gartner et al, 2011",,,,,,,
Oncorhynchus mykiss ,"Rainbow trout, Steelhead",salmonid,fish,,,yes,,"Ontario, Washington , California, Norway",,,,yes,,yes,,,,,,yes,"Montana, Washington","Crossman 1991, Mandrak et al 2014, DFO aquaculture liscence",,"Carim et al. 2015, Clancy and Bourret 2020, (Ostberg and Rodriguez 2006; Ostberg and Chase 2012), Bonar et al. 2005, Taylor et al. 2007; Pearon and Goater 2008; Rasmussen et al. 2010, 2012; Hanisch et al. 2012, 2013; Yau and Taylor 2013)",Import,Authorized Introduction,,,
Oncorhynchus nerka,"Kokanee, Sockeye salmon",salmonid,fish,,,,,,,,,,,yes,,,,,,yes,Washington,"Crossman 1991, DFO aquaculture liscences",,spies et al. 2007,Import,Authorized Introduction,,,
Oncorhynchus tshawytscha,Chinook salmon,salmonid,fish,,,,,"Yukon, Oregon, Washington",,,,,,yes,,,,,,yes,Washington,"Crossman 1991, DFO aquaculture liscences",,Jezorek and Connolly 2015,Import,Authorized Introduction,,,
Oreochromis aureus ,Blue tilapia ,tilapia,fish,,,,,,No,,,,,yes,,,,,,,,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,
Oreochromis niloticus,Nile Tilapia,tilapia,fish,,,,,,,,,,,yes,,,,,,,,DFO aquaculture liscence,,,,,,,
Otocinclus affinis,Golden otocinclus,,fish,,,,,,,,yes,,,,,,,,,,,Gertzen et al. 2007,,,,,,,
Oxyeleotris marmorata ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Pangio kuhlii ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Pangio kuhlii ,Coolie loach,,fish,,,,,,,,yes,,,,,,,,,,,Gertzen et al. 2007,,,,,,,
Pangio myersi ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Pangio oblonga ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Pangio semicincta ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Pangio shelfordii ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Paracheilognathus himantegus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Paracheirodon axelrodi ,Cardinal tetra,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Paracheirodon innesi,neon tetra,,fish,,,,,,,,yes,,,,,,,,,,,Gertzen et al. 2007,,,,,,,
Paracheirodon innesi ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Paracheirodon simulans ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Parambassis pulcinella ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Parambassis ranga ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Parambassis siamensis ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Parambassis wolffii ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Perca flavescens,Yellow perch,perch,fish,,yes,yes,yes,"Alberta, USA",Yes,,,,,,,,,,,yes,"Montana, Washington","Crossman 1991, Therriault and Webb 2017, BC Ministry List","Therriault and Webb 2017, DFO 2010 BC RA","Clancy and Bourret 2020, Bolding et al. 1998; Hansen et al. 2019, Bonar et al. 2005",Import,"Authorized Introduction, Unintentional, invasive as a result of man's cations (canals etc), including after intential reslease elsewhere (e.g. USA)",spread of invasive,,
Percina antesella ,Amber darter ,darter,fish,,,,,,No,,,,,,,,,,,,,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,
Percina aurantiaca ,Tangerine darter ,darter,fish,,,,,,No,,,,,,,,,,,,,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,
Percina burtoni ,Blotchside darter ,darter,fish,,,,,,No,,,,,,,,,,,,,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,
Percopsis omiscomaycus,trout-perch,perch,fish,,,,,,,,,,,,,,,,,,,Crossman 1991,,,Import,Authorized Introduction,forage species,,
Percottus glenii,Amur sleeper,,fish,,,,,,,,,yes,,,,,,,,,,Roy et al. 2018,,Roy et al. 2018,,,,,
Periophthalmus barbarus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Petitella georgiae ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Petromyzontidae,lamprey,lamprey,fish,,,,,"Washington, California",,,,,,,,,,,,,,Crossman 1991,,,Import,,,,
Phenacogrammus aurantiacus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Phenacogrammus interruptus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Phoxinus neogaeus ,Finescale dace,dace,fish,,yes,yes,,,,,yes,,,,,,,,,,,Mandrak et al 2014,,,,,,,
Piaractus brachypomus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Pimephales promelas ,Fathead minnow,minnow,fish,,yes,yes,,Ontario,,,yes,,yes,,,,,,,yes,Montana,"Crossman 1991, Mandrak et al 2014, BC Ministry List, Keller and Lodge 2007",,Clancy and Bourret 2020,Import,,,,
Pimephales vigilax ,Bullhead minnow ,minnow,fish,,,,,,No,,,,,,,,,,,,,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,
Piractus brachypomus,Red-bellied pacu,pacu,fish,yes,,,,,,,,,,,,,,,,,,BC Ministry List,,,,,,,
Platygobio gracilis,Flathead chub,chub,fish,,,,,Alberta,,,,,,,,,,,,,,Crossman 1991,,,Import,Authorized Introduction,forage species,,
Poecilia latipinna ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Poecilia petenensis ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Poecilia reticulata ,Guppy,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family climate match ,,,
Poecilia sphenops ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Poecilia velifera ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Pomoxis annularis ,White crappie ,crappie,fish,,,,,,No,,,,,,,,,,,yes,Montana,Therriault and Webb 2017,Therriault and Webb 2017,Clancy and Bourret 2020,,,,,
Pomoxis nigromaculatus ,Black crappie,crappie,fish,,yes,yes,,USA,,,yes,,,,,,,,,yes,"Montana, Washington","Crossman 1991, Mandrak et al 2014, BC Ministry List",,"Clancy and Bourret 2020, Bonar et al. 2005","Authorized Introduction, Unintentional, invasive as a result of man's cations (canals etc), including after intential reslease elsewhere (e.g. USA)",spread of invasive,,,
Priapella intermedia ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Prionobrama filigera ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Pristella maxillaris ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Pristobrycon striolatus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Procatopus aberrans ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Pseudambassis baculis ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Pseudogastromyzon fasciatus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Pseudogastromyzon myersi ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Pseudomystus siamensis ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Pteronotropis hypselopterus ,Sailfin shiner ,shiner,fish,,,,,,No,,,,,,,,,,,,,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,
Pterophyllum scalare,Angelfish,,fish,,,,,,,,yes,,,,,,,,,,,Gertzen et al. 2007,,,,,,,
Pterygoplichthys,plecostomus,,fish,,,,,,,,yes,,,,,,,,,,,Gertzen et al. 2007,,,,,,,
Ptychocheilus oregonensis ,Northern pikeminnow ,pikeminnow,fish,,,,,,No,,,,,,,,,,,yes,Montana,Therriault and Webb 2017,Therriault and Webb 2017,Clancy and Bourret 2020,,,,,
Puntius arulius ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Puntius asoka ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Puntius chola ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Puntius conchonius ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Puntius denisonii ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Puntius everetti ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Puntius filamentosus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Puntius gelius ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Puntius hexazona ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Puntius johorensis ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Puntius lateristriga ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Puntius lineatus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Puntius melanampyx ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Puntius nigrofasciatus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Puntius oligolepis ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Puntius partipentazona ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Puntius pentazona ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Puntius rhomboocellatus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Puntius sachsii ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Puntius semifasciolatus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Puntius tetrazona ,Tiger barb,,fish,,,,,,,,yes,,,,,,,,,,,"Mandrak et al. 2014, Gertzen et al. 2007",,,not climate match to canada,family climate match ,,,
Puntius ticto ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Puntius titteya ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Puntius vittatus ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Pygocentrus cariba ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Pygocentrus nattereri ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Pygocentrus piraya ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family not a match,,,
Rasbora borapetensis ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Rasbora dorsiocellata ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Rasbora einthovenii ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Rasbora elegans ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Rasbora kalochroma ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Rasbora meinkeni ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Rasbora pauciperforata ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Rasbora trilineata ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Rasbora vaterifloris ,,,fish,,,,,,,,yes,,,,,,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,,
Richardsonius balteatus,Redside shiner,shiner,fish,yes,,,yes,Alberta,,,,,,,,,,,,yes,Montana,"Crossman 1991, BC Ministry List",,Clancy and Bourret 2020,Import,Authorized Introduction,forage species,,
Rutilus rutilus ,Roach ,Roach,fish,,,,,,No,,,,,,,,,,,,,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,
Salmo salar ,Atlantic salmon,salmonid,fish,,yes,yes,,"Washington, Scotland",,,,yes,,yes,,,,,,yes,Alaska,"Crossman 1991, Mandrak et al 2014, DFO aquaculture liscence, BC Ministry List",, (Wing et al. 1992; Piccolo and Orlikowska 2012),Import,"Authorized Introduction, Unintentional release including escape from fish culture facility and unauthorized releases",,,
Salmo trutta,Brown trout,salmonid,fish,,yes,yes,,,,,,,,,,,,,,yes,Montana,"Crossman 1991, BC Ministry List",,Clancy and Bourret 2020,,Authorized Introduction,,,
Salvelinus alpinus,Arctic char,char,fish,,,,,"Manitoba, Alaska",,,,,,yes,,,,,,,,"Crossman 1991, DFO aquaculture liscences",,,Import,Authorized Introduction,,,
Salvelinus confluentus,Bull trout,salmonid,fish,,,,,,,,,,,,,,,,,yes,Montana,Crossman 1991,,Clancy and Bourret 2020,,Authorized Introduction,,,
Salvelinus fontinalis,Brook trout (eastern),eastern),fish,,yes,yes,,,,,,,,yes,,,,,,yes,"Montana, Idaho, Washington, Alberta","Crossman 1991, DFO aquaculture liscences, BC Ministry List",,"Clancy and Bourret 2020, Benjamin and Baxter 2010, Hofman et al. 2014, (Parker and Schindler 2006; Pacas and Taylor 2015)",,Authorized Introduction,,,
