Species name,common name,taxa_smaller,taxa_big,present in BC,established in BC,established in Canada,native to part of BC,source region to BC,hitlist (according to Therriault and Webb),ornamental/nursery trade,aquarium pet  trade,live food market,biological supply,aquaculture,fish stocking,recreational boating,bait industry,shipping and ballast,canals and diversions,adjacent region,"if adjacent, where",exotic to NA,invasive in NA,globally invasive,Listed in publications,Risk assessment pubs,impact/other pubs,,,,,,
Gambusia affinis,Mosquitofish,Mosquitofish,fish,,,yes,,,,,,,,,,,yes,,,,,no,yes,yes,"Crossman 1991, Keller and Lodge ",,,,,,,,
Gambusia holbrooki ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,NA,,293
Gasterosteus aculeatus,Three spined stickleback,stickleback,fish,,,,,,,,,,,,,,,,,,,no,yes,no,Crossman 1991,,,,,,,,
Glyceria maxima,Giant mannagrass,mannagrass,aquatic plant,yes,,yes,no,,,yes,,,,,,,,,,,,yes,yes,yes,"BC Ministry List, Keller and Lodge 2007",,,,,,,,
Gobio gobio ,Gudgeon ,Gudgeon,fish,,,,,,Yes,,,,,,,,,,,,,no,no,yes,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,,
Harpacticella paradoxa,,copepoda,zooplankton,,,,,,,,,,,,,,,,,yes,Washington,yes,yes,no,,,Cordell et al. 2007,,,,,,
Helisoma trivolvis OR Planorella trivolvis,,mollusc,invertebrate,,,yes,,,,,,,,,,,,NA,NA,,,,,,Schroeder et al. 2014,Schroeder et al. 2014,,,,,NA,,382
Hemichromis,Jewel cichlid (sp),cichlid,fish,yes,,,,,,,,,,,,,,,,,,,,,BC Ministry List,,,,,,,,
Hemimysis anomala,Bloody red shrimp,shrimp,invertebrate,,,,,,,,,,,,,,,,,,,yes,yes,yes,,DFO Canadawide RA,,,,,,,
Hiodon alosoides,Goldeye,Goldeye,fish,,,,,Alberta,,,,,,,,,,,,,,no,yes,no,Crossman 1991,,,,,,,,
Hygrophila,(sp),,aquatic plant,,,,,,,yes,,,,,,,,,,,,,,,"Azan et al. 2015, cohen et al. 2007",Azan et al. 2015,,,,,,,
Hygrophila difformis ,water wisteria,(Blume) (syn. Synnema triflorum),aquatic plant,,,,,,,yes,,,,,,,,,,,,yes,yes,no,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,,,,,,
Hypophthalmichthys molitrix ,Silver carp ,carp,fish,,,,,,Yes,,,,,,,,,,,,,yes,yes,yes,Therriault and Webb 2017,"Therriault and Webb 2017, DFO Canadawide RA",Roy et al. 2018,,,,,,
Hypophthalmichthys nobilis ,Bighead carp ,carp,fish,,,,,,Yes,,,yes,,,,,,,,,,yes,yes,yes,"Therriault and Webb 2017, Keller and Lodge 2007","Therriault and Webb 2017, DFO Canadawide RA",Roy et al. 2018,,,,,,
Ichthyomyzon greeleyi ,Mountain brook lamprey ,lamprey,fish,,,,,,No,,,,,,,,,,,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,,
Ictalurus furcatus ,Blue catfish,catfish,fish,,,no,,,,,,,,,,,,,,,,no,yes,yes?,Mandrak et al 2014,,,,,,,,
Ictalurus punctatus ,Channel catfish,catfish,fish,,yes,yes,,Idaho,,,yes,yes,,,,,,,,,,no,yes,no,"Crossman 1991, Mandrak et al 2014",,,,,,,,
Ictiobus cyprinellus ,Bigmouth buffalo,buffalo,fish,,yes,yes,,,,,yes,yes,,,,,,,,,,no,yes,no,Mandrak et al 2014,,,,,,,,
Indoplanorbis exustus ,,mollusc,invertebrate,,,No ,,,,,yes,,,,,,,,,,,yes,no,no,"Schroeder et al. 2014, DFO SLRA 2014",Schroeder et al. 2014,,,,,,,
Iris pseudacorus,Yellow iris,iris,aquatic plant,yes,,yes,no,,,yes,,,,,,,,,,,,no,yes,no?,"BC Ministry List, Keller and Lodge 2007",,,,,,,,
Juncus,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,NA,,158
Lampetra ayresii ,Western river lamprey ,lamprey,fish,,,,,,No,,,,,,,,,,,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,,
Lampetra fluviatilis ,european River lamprey ,lamprey,fish,,,,,,Yes,,,,,,,,,,,,,yes,no,yes,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,,
Lampetra pacifica ,Pacific brook lamprey ,lamprey,fish,,,,,,No,,,,,,,,,,,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,,
Lates calcarifer,Barramundi or Asian sea bass,bass,fish,,,,,,,,,,,yes,,,,,,,,yes,no,yes,DFO aquaculture liscence,,,,,,,,
Lepisosteus oculatus ,Spotted gar,gar,fish,,yes,yes,,,,,yes,,,,,,,,,,,no,yes,no,Mandrak et al 2014,,,,,,,,
Lepisosteus osseus ,Longnose gar,gar,fish,,yes,yes,,,,,yes,,,,,,,,,,,no,no,no,Mandrak et al 2014,,,,,,,,
Lepomis cyanellus,Green sunfish,sunfish,fish,,,,,,,,,,,,,,,,,yes,Washington,no,yes,yes,,,Bonar et al. 2005,,,,,,
Lepomis gibbosus,Pumpkinseed,sunfish,fish,,yes,yes,,USA,Yes,,,,,,,,,,,yes,"Montana, Washington",no,yes,yes,"Crossman 1991, Therriault and Webb 2017, BC Ministry List","Therriault and Webb 2017, DFO 2010 BC RA","Clancy and Bourret 2020, Bonar et al. 2005",,,,,,
Lepomis gulosus,Warmouth,sunfish,fish,,,,,,,,,,,,,,,,,yes,Washington,no,yes,no,,,Bonar et al. 2005,,,,,,
Lepomis macrochirus ,Bluegill,sunfish,fish,yes,,,,,,,yes,,,,,,,,,yes,"Montana, Washington",no,yes,yes,"Mandrak et al 2014, BC Ministry List",,"Clancy and Bourret 2020, Bonar et al. 2005",,,,,,
Lepomis megalotis ,Longear sunfish ,sunfish,fish,,yes,yes,,,,,yes,,,,,,,,,yes,Montana,no,yes,no,Mandrak et al 2014,,Clancy and Bourret 2020,,,,,,
Lethenteron alaskense ,Alaskan brook lamprey,lamprey,fish,,,,,,No,,,,,,,,,,,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,,
Leuciscus idus ,ide,ide,fish,,yes,no,,,,,yes,yes,,,,,,,,,,yes,yes,yes,Mandrak et al 2014,,Roy et al. 2018,,,,,,
Limnoithona tetraspina,,copepoda,zooplankton,,,,,,,,,,,,,,,,,yes,Washington,yes,yes,yes?,,,Cordell et al. 2008,,,,,,
Lota lota,burbot,burbot,fish,,,,,Northwest territories,,,,,,,,,,,,,,no,yes,no,Crossman 1991,,,,,,,,
Ludwigia,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,NA,,120
Lymnaea natalensis OR Radix natalensis, (=Radix natalensis) ,mollusc,invertebrate,,,yes,,,,,yes,,,,,,,,,,,yes,no,no,"Schroeder et al. 2014, Duggan et al. 2018",Schroeder et al. 2014,,,,,,,
Lymnaea palustris OR Stagnicola palustris,(=Stagnicola palustris) ,mollusc,invertebrate,,,yes,,,,,yes,,,,,,,,,,,yes,no,no,"Schroeder et al. 2014, DFO SLRA 2014, Duggan et al. 2018",Schroeder et al. 2014,,,,,,,
Lymnaea peregra ,wandering pond snail,mollusc,invertebrate,,,Unknown ,,,,,yes,,,,,,,,,,,yes,no,no?,"Schroeder et al. 2014, DFO SLRA 2014",Schroeder et al. 2014,,,,,,,
Melanoides tuberculata ,"Malaysian Trumpet Snail, Red-rimmed Melania ",mollusc,invertebrate,,,No ,,,,,yes,,,,,,,,,,,yes,yes,yes,"Schroeder et al. 2014, DFO SLRA 2014, Duggan et al. 2018",Schroeder et al. 2014,,,,,,,
Micropterus dolomieu,Smallmouth bass,bass,fish,,yes,yes,,,Yes,,,,,,,,,,,yes,Montana,no,yes,yes,"Crossman 1991, Therriault and Webb 2017, BC Ministry List","Therriault and Webb 2017, DFO 2010 BC RA, DFO Atlantic salmon RA",Clancy and Bourret 2020,,,,,,
Micropterus salmoides ,Largemouth bass,bass,fish,,yes,yes,,USA,Yes,,yes,yes,,,,,,,,yes,"Montana, Idaho, Washington",no,yes,yes,"Crossman 1991, Mandrak et al 2014, Therriault and Webb 2017, BC Ministry List, Keller and Lodge 2007","Therriault and Webb 2017, DFO 2010 BC RA","Clancy and Bourret 2020, Braun and Walser 2011,Christensen and Moore 2010; Hawkins et al. 2020; Marsha et al. 2021, bonar et al. 2005",,,,,,
Microsorum pteropus ,java fern,Copel. (syn. Colysis pteropus),aquatic plant,,,,,,,yes,,,,,,,,,,,,yes,no,no,"Azan et al. 2015, cohen et al. 2007",Azan et al. 2015,,,,,,,
Misgurnus anguillicaudatus ,Pond loach/ Oriental weatherfish,weatherfish,fish,,yes,yes,,,,,yes,yes,,,,,,,,yes,"Idaho, Washington",yes,yes,yes,"Mandrak et al 2014, BC Ministry List, Keller and Lodge 2007",,"Urquhart and Koetsier 2014, Tabor et al. 2001, Roy et al. 2018",,,,,,
Misgurnus fossilis ,weatherfish,weatherfish,fish,,yes,no,,,,,yes,,,,,,,,,,,yes,no,no,Mandrak et al 2014,,,,,,,,
Morone mississippiensis,Yellow bass,bass,fish,,,,,,Yes,,,,,,,,,,,,,no,yes,no,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,,
Morone saxatilis ,Striped bass,bass,fish,,,yes,,,,,,yes,,,,,,,,,,no,yes,yes,Mandrak et al 2014,,,,,,,,
Morone saxatilis x Morone chrysops OR Wiper,Wiper,Bass,fish,,,no,,,,,,yes,,,,,,,,,,no,,,Mandrak et al 2014,,Roy et al. 2018,,,,,,
Musa,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,NA,,240
Mylopharyngodon piceus,Black carp,carp,fish,,,,,,Yes,,,yes,,,,,,,,,,yes,yes,yes,Therriault and Webb 2017,"Therriault and Webb 2017, DFO Canadawide RA",Roy et al. 2018,,,,,,
Myosotis scorpioides,European forget-me-not,not,aquatic plant,yes,yes,yes,no,,,yes,,,,,,,,,,,,yes,yes,no,"BC Ministry List, Keller and Lodge 2007",,,,,,,,
Myriophyllum aquaticum,Parrot's feather,feather,aquatic plant,yes,,yes,no,,,yes,yes,,,,,,,,,yes,Washington,yes,yes,yes,"BC Ministry List, Keller and Lodge 2007",,"Kuehne et al. 2016, 2018",,,,,,
Myriophyllum heterophyllum,Varied-leaved watermilfoil,watermilfoil,aquatic plant,yes,,,no,,,yes,,,,,,,,,,,,no,yes,yes,"BC Ministry List, DFO SLRA 2014",,,,,,,,
Myriophyllum spicatum,Eurasian water-milfoil (spiked),milfoil,aquatic plant,yes,,yes,no,,,yes,yes,,,,,yes,,,,yes,"Idaho, Washington",yes,yes,yes,"BC Ministry List, Keller and Lodge 2007",,"(Moody and Les 2007; Madsen et al. 2015; Liao et al. 2016, Wagner and Falter 2002, Parsons et al. 2009; Tamayo and Olden 2014; Olden and Tamayo 2014)",,,,,,
Mysis diluviana,Opossum shrimp,shrimp,invertebrate,,,,,,,,,,,,,,,,,yes,"Montana, Idaho, Washington",no,yes,no,,,"Ellis et al 2011, Devlin et al. 2017, Caldwell et al. 2016, Schoen et al. 2015",,,,,,
Mytilopsis leucophaeata,dark false mussel,mollusc,invertebrate,,,,,,,,,,,,,,,,,,,no,yes,yes,,"Therriault et al. 2013, DFO Canadawide RA",,,,,,,
Myxobolus cerebralis ,Whirling disease parasite,cndaria,parasite,,,,,,,,,,,,,,,,,yes,"Montana, Alaska",yes,yes,yes,,,"Carim et al. 2015; Murcia et al. 2015, Gates et al. 2009, (Arsan and Bartholomew 2008)",,,,,,
Notemigonus crysoleucas,golden shiner,shiner,fish,,,yes,,,,,,,,,,,yes,,,yes,Washington,no,yes,no,Keller and Lodge 2007,,Bonar et al. 2005,,,,,,
Notropis hudsonius,Margined madtom or spottail shiner,shiner,fish,,yes,,yes,,,,maybe,,,,,,,,,,,no,yes,no,"Crossman 1991, BC Ministry List",,,,,,,,
Noturus albater ,Ozark madtom ,madtom,fish,,,,,,Yes,,,,,,,,,,,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,,
Noturus elegans ,Elegant madtom ,madtom,fish,,,,,,Yes,,,,,,,,,,,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,,
Nymphaea mexicana,Yellow waterlily,waterlily,aquatic plant,yes,,,no,,,yes,,,,,,,,,,,,no,yes,yes,"BC Ministry List, Azan et al. 2015",Azan et al. 2015,,,,,,,
Nymphoides peltata,Yellow floating heart,heart,aquatic plant,yes,,yes,no,,,yes,yes,,,,,,,,,,,yes,yes,yes,"BC Ministry List, Keller and Lodge 2007",,,,,,,,
Oncorhynchus aguabonita,Golden trout,salmonid,fish,,,,,,,,maybe,,,,,,,,,,,no,yes,no,Crossman 1991,,,,,,,,
Oncorhynchus clarki lewisi x Oncorhynchus mykiss,Westslope cutthroat trout x rainbow trout hybrid,salmonid,fish,,,,,,,,,,,,,,,,,,,no,,,Crossman 1991,,,,,,,,
Oncorhynchus clarkii clarkii,Cutthroat Trout,salmonid,fish,,,,,,,,,,,yes,,,,,,,,no,yes,yes,DFO aquaculture liscence,,,,,,,,
Oncorhynchus keta,Chum salmon,salmonid,fish,,,,,"Alaska, Yukon",,,,,,,,,,,,,,no,yes,no,Crossman 1991,,,,,,,,
Oncorhynchus kisutch,Coho salmon,salmonid,fish,,,,,,,,,,yes,yes,,,,,,,,no,yes,no,"DFO aquaculture liscence, Gartner et al, 2011",,,,,,,,
Oncorhynchus mykiss ,"Rainbow trout, Steelhead",salmonid,fish,,,yes,,"Ontario, Washington , California, Norway",,,,yes,,yes,,,,,,yes,"Montana, Washington",no,yes,yes,"Crossman 1991, Mandrak et al 2014, DFO aquaculture liscence",,"Carim et al. 2015, Clancy and Bourret 2020, (Ostberg and Rodriguez 2006; Ostberg and Chase 2012), Bonar et al. 2005, Taylor et al. 2007; Pearon and Goater 2008; Rasmussen et al. 2010, 2012; Hanisch et al. 2012, 2013; Yau and Taylor 2013)",,,,,,
Oncorhynchus nerka,"Kokanee, Sockeye salmon",salmonid,fish,,,,,,,,,,,yes,,,,,,yes,Washington,no,yes?,yes?,"Crossman 1991, DFO aquaculture liscences",,spies et al. 2007,,,,,,
Oncorhynchus tshawytscha,Chinook salmon,salmonid,fish,,,,,"Yukon, Oregon, Washington",,,,,,yes,,,,,,yes,Washington,no,yes,yes,"Crossman 1991, DFO aquaculture liscences",,Jezorek and Connolly 2015,,,,,,
Oreochromis aureus ,Blue tilapia ,tilapia,fish,,,,,,No,,,,,yes,,,,,,,,yes,yes,yes,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,,
Oreochromis niloticus,Nile Tilapia,tilapia,fish,,,,,,,,,,,yes,,,,,,,,yes,yes,yes,DFO aquaculture liscence,,,,,,,,
Pacifastacus leniusculus,Signal crayfish,crayfish,invertebrate,yes,yes,yes,,,,,,,,yes,,,,,,yes,Washington,no,yes,yes,,"(Mueller 2007; Mueller and Bodensteiner 2009; Larson et al. 2017), larson and olden 2013",,,,,,,
Palaemon modestus,Siberian prawn,shrimp,invertebrate,,,,,,,,,,,,,,,,,yes,Washington,yes,yes,no,,,Erhardt and Tiffan 2016,,,,,,
Pectinatella magnifica,magnificent bryozoan,bryozoan,invertebrate,yes,,,no,,,,,,,,,,,,,,,no,yes,yes,BC Ministry List,,,,,,,,
Perca flavescens,Yellow perch,perch,fish,,yes,yes,yes,"Alberta, USA",Yes,,,,,,,,,,,yes,"Montana, Washington",no,yes,no,"Crossman 1991, Therriault and Webb 2017, BC Ministry List","Therriault and Webb 2017, DFO 2010 BC RA","Clancy and Bourret 2020, Bolding et al. 1998; Hansen et al. 2019, Bonar et al. 2005",,,,,,
Perccottus glenii,Amur sleeper,,fish,,,,,,,,,yes,,,,,,,,,,yes,no,yes,Roy et al. 2018,,Roy et al. 2018,,,,,,
Percina antesella ,Amber darter ,darter,fish,,,,,,No,,,,,,,,,,,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,,
Percina aurantiaca ,Tangerine darter ,darter,fish,,,,,,No,,,,,,,,,,,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,,
